,Titulo,Precio,Ratings,Total de comentarios,Personal Rating,Instalaciones Rating,Limpieza Rating,Conforts Rating,Calidad Rating,Ubicacion Rating,Rating - Fantastico,Rating - bien,Rating - aceptables,Rating - malos,Rating - muy malas,Comentarios en español,Comentarios en ingles,tipos_clientes_familias,tipos_clientes_parejas,tipos_clientes_grupos_amigos,tipos_clientes_personas_solas,tipos_clientes_personas_por_trabajo
32,Del Mar Inn Rosarito,"MXN 1,656",7.7,622 comentarios,0,0,8.4,7.6,7.9,7.8,(290),(184),(67),(37),(44),(440),(131),(299),(206),(41),(25),(39)
33,Poco Cielo Hotel,"MXN 2,722",8.1,105 comentarios,0,0,0,0,8.9,7.9,(60),(23),(12),(6),(4),(78),(15),(14),(72),(8),(4),(5)
34,Hotel Corona Plaza,"MXN 1,572",6.2,"1,712 comentarios",0,0,,,,,,,,,,,,,,,,
35,Seafront Luxury Condo in Rosarito with Pool & Jacuzzi,"MXN 3,524",9.9,7 comentarios,0,0,0,0,,,,0,0,0,0,,,,,,0,0
36,Holiday House with Pool & Jacuzzi in Rosarito,"MXN 5,960",10,5 comentarios,0,0,0,0,,,,0,0,0,0,,,,,,,0
37,Solari Casa de Huespedes,MXN 675,6.5,100 comentarios,7.6,6.6,7.0,6.9,7.1,6.2,(34),(25),(16),(5),(20),(57),(30),(14),(50),(4),(24),(12)
38,Quinta Pacifica Beachfront Villas,"MXN 1,983",7.0,476 comentarios,0,0,7.5,7.4,7.9,8.0,(210),(101),(51),(48),(66),(397),(61),(205),(148),(51),(8),(16)
39,Hotel Festival Plaza Playas Rosarito,"MXN 2,142",7.0,"1,399 comentarios",0,0,7.7,7.2,7.5,7.6,(554),(372),(175),(119),(179),(1089),(214),(467),(605),(130),(48),(59)
40,Castillos Del Mar,"MXN 2,216",6.4,788 comentarios,0,0,0,0,7.5,6.2,(272),(172),(123),(78),(143),(482),(203),(302),(380),(41),(19),(32)
41,Hotel Cantaritos,"MXN 1,613",7.2,10 comentarios,6.8,8.0,8.3,8.0,7.0,8.0,(5),(2),(1),(2),0,(6),(4),(1),(3),(2),(4),(4)
42,"Free Day At Beautiful Coastal Getaway Queen Beds, Pool Access, Balcony","MXN 1,363",1.0,1 comentario,0,0,0,0,2.5,2.5,(1),0,0,0,0,0,(1),(1),0,0,0,0
43,Departamento rústico,"MXN 1,101",6.6,5 comentarios,0,0,7.0,6.5,6.0,6.5,(2),(1),(1),(1),0,(1),(3),(2),(2),(1),0,0
44,Luxury Condo Downtown Rosarito,"MXN 1,800",9.8,6 comentarios,9.6,10,10,10,10,9.2,(6),0,0,0,0,(4),(2),(3),(3),(3),0,0
45,Villa-Mar Beach Side compound,"MXN 1,753",7.0,12 comentarios,0,0,7.9,7.1,7.5,8.3,(5),(3),(1),(1),(2),(9),(3),(7),(1),(1),(2),(2)
46,Playa Bonita Rosarito,"MXN 4,000",9.7,15 comentarios,0,0,0,0,10,9.7,(14),(1),0,0,0,(9),(4),(5),(1),(3),(2),(2)
47,Luxury 2BR Condo Rosarito (D),"MXN 2,173",9.7,3 comentarios,9.2,10,9.2,10,10,10,(3),0,0,0,0,(2),(1),(1),0,0,0,0
48,3 bedroom home & 5 minute drive to Papas n beer,"MXN 4,222","Excepcional 9.8
40 comentarios externos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Oceana Rosarito Inn Condo (Privately Owned),"MXN 2,794",10,1 comentario,0,0,0,0,0,0,(1),0,0,0,0,0,(1),(1),0,0,0,0
